# Пул событий/объектов НА КРУГ. Поля '|'-разделены, '#' — комментарий.
# Это DEFAULT от кода, чтобы мир был не пустой. GDD заменяет своим контентом.
#
# circle | layer | tile_id | count | scope
#   circle  — номер круга, к которому относится пул (нет строк для круга -> берётся ближайший меньший)
#   layer   — road (на дорожной клетке) | field (в пустыне у дороги)
#   tile_id — id из tiles.tsv
#   count   — сколько штук поставить в этом круге (НЕ растёт само — задаётся пулом)
#   scope   — on_enter (вход на road-клетку) | adjacent (проход соседней road-клетки) | global (пассив раз в круг)
#             необязателен: по умолчанию road->on_enter, field->adjacent
#
# Цепочка как в Capybara Go: мелкие +/- события -> риск/бой(check) -> иногда крупное.

# --- круг 1: мягкий вход (саксаул у дороги — маленькая помощь) ---
1 | field | saxaul      | 1 | adjacent

# --- круг 2: первый риск-встреча на дороге + пассивный доход в поле ---
2 | road  | wolf_track  | 1 | on_enter
2 | field | saxaul      | 1 | adjacent
2 | field | tamga_stone | 1 | global

# --- круг 3+: насыщеннее (берётся как пул для кругов 3..10 по fallback) ---
3 | road  | wolf_track  | 1 | on_enter
3 | road  | mirage      | 1 | on_enter
3 | field | saxaul      | 1 | adjacent
3 | field | oasis       | 1 | adjacent
3 | field | yurt        | 1 | global
3 | field | tamga_stone | 1 | global
